customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00069,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,89.64,1069.21,No
CUST-00070,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),106.14,957.51,Yes
CUST-00071,Female,0,Yes,Yes,28,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Electronic check,20.0,558.04,No
CUST-00072,Male,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,120.0,4199.47,No
CUST-00073,Male,0,Yes,Yes,37,Yes,Yes,No,No ,No ,No ,No ,No ,No ,One year,No,Bank transfer (automatic),28.61,1063.44,No
CUST-00074,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.16,383.59,No
CUST-00075,Female,1,No,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),77.71,2098.28,No
CUST-00076,Male,0,No,No,37,No,No phone service,No,No ,No ,No ,No ,No ,No ,One year,Yes,Mailed check,26.62,982.37,No
CUST-00077,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,88.44,882.09,Yes
CUST-00078,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),82.13,1974.72,No
CUST-00079,Female,0,No,No,6,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),65.62,391.73,No
CUST-00080,Female,0,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.78,1633.59,No
CUST-00081,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,97.26,2718.64,No
CUST-00082,Male,0,No,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),67.75,472.51,Yes
CUST-00083,Male,0,Yes,No,24,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,Yes,Credit card (automatic),25.54,619.96,No
CUST-00084,Female,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,110.4,328.03,Yes
CUST-00085,Female,1,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.74,1692.38,No
CUST-00086,Female,0,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),120.0,2163.41,No
CUST-00087,Male,0,Yes,Yes,44,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,103.95,4569.91,Yes
CUST-00088,Male,0,No,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,93.41,2710.96,Yes
CUST-00089,Female,1,Yes,Yes,27,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),92.16,2483.05,Yes
CUST-00090,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),104.54,6797.7,No
CUST-00091,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),64.75,716.78,No
CUST-00092,Female,0,No,Yes,41,Yes,Yes,No,No ,No ,No ,No ,No ,No ,One year,Yes,Credit card (automatic),35.03,1444.18,No
CUST-00093,Female,0,Yes,No,18,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.45,978.21,Yes
CUST-00094,Male,0,No,Yes,34,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76.49,2598.56,No
CUST-00095,Female,1,No,No,45,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,Yes,Credit card (automatic),24.57,1099.29,No
CUST-00096,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.73,2154.99,No
CUST-00097,Male,0,No,No,4,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Mailed check,24.78,103.36,Yes
CUST-00098,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,120.0,3715.13,No
CUST-00099,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),81.79,1147.11,No
CUST-00100,Male,1,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),103.81,2394.44,No
CUST-00101,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),88.33,5475.2,No
CUST-00102,Male,0,Yes,No,7,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Bank transfer (automatic),19.29,126.86,No
CUST-00103,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,86.53,1992.13,No
CUST-00104,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.88,6061.9,No
CUST-00105,Female,0,Yes,No,12,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Mailed check,40.44,480.35,No
CUST-00106,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,120.0,839.7,No
CUST-00107,Female,0,Yes,No,31,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,86.36,2673.72,Yes
CUST-00108,Female,0,Yes,No,47,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),50.33,2365.11,No
CUST-00109,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,120.0,3128.95,Yes
CUST-00110,Female,0,No,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,83.55,1586.42,No
CUST-00111,Male,0,Yes,No,17,Yes,Yes,No,No ,No ,No ,No ,No ,No ,One year,Yes,Bank transfer (automatic),32.01,541.05,No
CUST-00112,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,116.61,586.01,Yes
CUST-00113,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,108.97,1421.69,No
CUST-00114,Male,1,No,No,21,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,81.11,1699.37,Yes
CUST-00115,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,120.0,1316.72,Yes
CUST-00116,Female,1,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,90.89,3826.71,No
CUST-00117,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,89.79,1702.52,Yes
CUST-00118,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),111.66,1346.38,Yes
CUST-00119,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,115.5,6243.57,No
CUST-00120,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,107.46,1611.88,No
CUST-00121,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.83,1862.58,Yes
CUST-00122,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,116.43,5939.9,No
CUST-00123,Female,0,Yes,No,39,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),56.45,2200.37,No
CUST-00124,Male,0,No,No,2,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),48.33,88.17,No
CUST-00125,Female,0,No,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,60.07,662.54,No
CUST-00126,Female,0,No,Yes,49,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),90.38,4424.43,No
CUST-00127,Male,0,No,Yes,13,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.0,772.96,No
CUST-00128,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.0,1918.91,Yes
CUST-00129,Female,1,Yes,No,1,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.84,93.82,Yes
CUST-00130,Female,1,Yes,No,43,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),102.23,4390.06,No
CUST-00131,Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,98.72,297.91,No
CUST-00132,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,116.09,6733.37,No
CUST-00133,Male,0,No,No,21,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,53.41,1114.4,Yes
CUST-00134,Female,0,No,No,35,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),70.67,2480.2,No
CUST-00135,Female,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.14,2031.76,No
CUST-00136,Male,0,No,No,11,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),87.88,963.64,Yes
CUST-00137,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),70.53,2893.49,No
CUST-00138,Male,0,Yes,No,1,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Electronic check,21.23,22.03,No
CUST-00139,Male,0,No,No,65,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),46.93,3050.41,No
CUST-00140,Male,1,Yes,No,33,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,66.94,2212.38,No
CUST-00141,Female,0,No,No,7,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Bank transfer (automatic),42.78,293.23,No
CUST-00142,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),98.54,3349.54,No
CUST-00143,Male,0,Yes,No,71,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Two year,No,Bank transfer (automatic),40.0,2843.01,No
CUST-00144,Male,1,Yes,No,16,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,67.3,1066.25,Yes
CUST-00145,Female,0,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,112.33,1917.29,No
CUST-00146,Female,0,Yes,No,58,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Electronic check,22.29,1293.71,No
CUST-00147,Male,1,No,Yes,20,Yes,No,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Bank transfer (automatic),20.29,410.82,No
CUST-00148,Male,0,No,No,35,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,58.54,2052.02,No
CUST-00149,Female,1,Yes,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),115.37,1613.99,No
CUST-00150,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,112.49,1806.91,No
CUST-00151,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.27,1672.12,No
CUST-00152,Male,0,No,Yes,6,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.11,341.93,No
CUST-00153,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,120.0,4447.58,No
CUST-00154,Male,0,Yes,Yes,4,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.19,325.97,Yes
CUST-00155,Male,0,No,No,9,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.64,433.78,Yes
CUST-00156,Female,0,No,Yes,35,Yes,Yes,No,No ,No ,No ,No ,No ,No ,One year,No,Bank transfer (automatic),36.33,1269.44,No
CUST-00157,Male,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,87.9,1842.9,No
CUST-00158,Female,0,Yes,Yes,22,No,No phone service,No,No ,No ,No ,No ,No ,No ,Month-to-month,No,Bank transfer (automatic),29.21,644.94,No
CUST-00159,Female,0,No,Yes,33,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,74.49,2459.89,No
CUST-00160,Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),120.0,8166.37,No
CUST-00161,Female,1,Yes,No,2,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,65.25,117.57,No
CUST-00162,Female,1,Yes,No,54,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),32.17,1731.11,No
CUST-00163,Male,0,No,No,43,Yes,Yes,No,No ,No ,No ,No ,No ,No ,One year,No,Electronic check,27.39,1179.76,No
CUST-00164,Male,0,Yes,Yes,5,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,67.98,345.02,Yes
CUST-00165,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,88.53,1328.79,Yes
CUST-00166,Female,0,Yes,No,2,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Month-to-month,Yes,Mailed check,37.62,76.18,Yes
CUST-00167,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),50.18,3061.24,No
CUST-00168,Male,0,No,No,31,Yes,No,No,No ,No ,No ,No ,No ,No ,One year,No,Credit card (automatic),20.53,639.01,No
CUST-00169,Male,0,Yes,No,19,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),39.61,745.05,Yes
CUST-00170,Male,0,No,Yes,20,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.04,1219.09,Yes
CUST-00171,Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),103.44,2373.61,No
CUST-00172,Male,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,49.01,227.04,Yes
CUST-00173,Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,97.68,4094.73,No
CUST-00174,Female,0,No,No,51,Yes,No,No,No ,No ,No ,No ,No ,No ,Two year,Yes,Electronic check,25.39,1287.9,No
CUST-00175,Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,93.15,4471.0,No
CUST-00176,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.1,1550.8,No
CUST-00177,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,86.34,946.11,Yes
CUST-00178,Male,0,Yes,Yes,47,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,110.07,5180.13,No
CUST-00179,Female,0,No,No,24,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.09,2045.77,No
CUST-00180,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.4,1893.38,Yes
CUST-00181,Female,0,Yes,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.33,1501.02,No
